"Mass";"Rating";"Type";"Manufacturer";"Model";"Smallest Cam/Wedge (Official)";"Largest Cam/Wedge (Official)";"End-Wise Wedge (Tricam Cam)";;"Color";"Designation"
".25  oz";"3 kN";"MicroNut/RP";"Black Diamond";"Micro-Stopper";".182 in";".255 in";;;;2
".32  oz";"5 kN";"MicroNut/RP";"Black Diamond";"Micro-Stopper";".202 in";".33 in";;;;3
".46  oz";"6 kN";"MicroNut/RP";"Black Diamond";"Micro-Stopper";".233 in";".33 in";;;;4
".53  oz";"6 kN";"MicroNut/RP";"Black Diamond";"Micro-Stopper";".29 in";".37 in";;;;5
".74  oz";"8 kN";"MicroNut/RP";"Black Diamond";"Micro-Stopper";".345 in";".41 in";;;;6
".25  oz";"2 kN";"Nut";"Black Diamond";"Stopper";".17 in";".36 in";;;;1
".28  oz";"2 kN";"Nut";"Black Diamond";"Stopper";".19 in";".39 in";;;;2
".53  oz";"5 kN";"Nut";"Black Diamond";"Stopper";".24 in";".45 in";;;;3
".56  oz";"6 kN";"Nut";"Black Diamond";"Stopper";".27 in";".49 in";;;;4
".63  oz";"6 kN";"Nut";"Black Diamond";"Stopper";".33 in";".53 in";;;;5
"1.1  oz";"6 kN";"Nut";"Black Diamond";"Stopper";".4 in";".61 in";;;;6
"1.2  oz";"10 kN";"Nut";"Black Diamond";"Stopper";".46 in";".64 in";;;;7
"1.3  oz";"10 kN";"Nut";"Black Diamond";"Stopper";".53 in";".72 in";;;;8
"1.4  oz";"10 kN";"Nut";"Black Diamond";"Stopper";".6 in";".82 in";;;;9
"1.5  oz";"10 kN";"Nut";"Black Diamond";"Stopper";".68 in";".92 in";;;;10
"1.8  oz";"10 kN";"Nut";"Black Diamond";"Stopper";".79 in";"1.05 in";;;;11
"2.  oz";"10 kN";"Nut";"Black Diamond";"Stopper";".9 in";"1.2 in";;;;12
"2.5  oz";"10 kN";"Nut";"Black Diamond";"Stopper";"1.04 in";"1.38 in";;;;13
".67  oz";"6 kN";"Hex";"Black Diamond";"Hex";".45 in";;".75 in";;"Black";1
".78  oz";"6 kN";"Hex";"Black Diamond";"Hex";".55 in";;".82 in";;"Gold";2
"1.  oz";"6 kN";"Hex";"Black Diamond";"Hex";".66 in";;".96 in";;"Red";3
"1.8  oz";"10 kN";"Hex";"Black Diamond";"Hex";".81 in";;"1.1 in";;"Red";4
"1.87  oz";"10 kN";"Hex";"Black Diamond";"Hex";".94 in";;"1.3 in";;"Black";5
"2.26  oz";"10 kN";"Hex";"Black Diamond";"Hex";"1.07 in";;"1.54 in";;"Gold";6
"3.03  oz";"10 kN";"Hex";"Black Diamond";"Hex";"1.3 in";;"1.8 in";;"Red";7
"3.32  oz";"10 kN";"Hex";"Black Diamond";"Hex";"1.54 in";;"2.13 in";;"Black";8
"4.37  oz";"10 kN";"Hex";"Black Diamond";"Hex";"1.85 in";;"2.51 in";;"Gold";9
"5.78  oz";"10 kN";"Hex";"Black Diamond";"Hex";"2.19 in";;"2.96 in";;"Red";10
"7.27  oz";"10 kN";"Hex";"Black Diamond";"Hex";"2.56 in";;"3.91 in";;"Black";11
".32  oz";"2 kN";"Tricam";"Camp";"Tricam";".3937 in";".5906 in";;;"White";0.125
".67  oz";"3 kN";"Tricam";"Camp";"Tricam";".5315 in";".9843 in";;;"Black";0.25
".92  oz";"6 kN";"Tricam";"Camp";"Tricam";".6299 in";"1.1024 in";;;"Pink";0.5
"1.24  oz";"8 kN";"Tricam";"Camp";"Tricam";".7874 in";"1.1811 in";;;"Red";1
"1.76  oz";"12 kN";"Tricam";"Camp";"Tricam";"1.0236 in";"1.4961 in";;;"Brown";1.5
"1.94  oz";"12 kN";"Tricam";"Camp";"Tricam";"1.1417 in";"1.6142 in";;;"Purple";2
"2.72  oz";"14 kN";"Tricam";"Camp";"Tricam";"1.2598 in";"1.8898 in";;;"Blue";2.5
"3.18  oz";"14 kN";"Tricam";"Camp";"Tricam";"1.4961 in";"2.126 in";;;"Navy White";3
"4.13  oz";"16 kN";"Tricam";"Camp";"Tricam";"1.6142 in";"2.3622 in";;;"Green";3.5
"4.23  oz";"16 kN";"Tricam";"Camp";"Tricam";"1.7717 in";"2.5197 in";;;"Green";4
"4.87  oz";"22 kN";"Tricam";"Camp";"Tricam";"2.2441 in";"3.5039 in";;;"Orange";5
"7.06  oz";"18 kN";"Tricam";"Camp";"Tricam";"2.874 in";"4.1339 in";;;"Yellow";6
"9.31  oz";"16 kN";"Tricam";"Camp";"Tricam";"3.622 in";"5.5118 in";;;"Gold";7
"4.23  oz";;;;;;;;;;
;;;;;".4375 in";".8125 in";".9375 in";"1.0625 in";"Pink";0.5
;;;;;".75 in";"1.0625 in";"1. in";"1.25 in";"Red";1
;;;;;".8125 in";"1.3125 in";"1.1875 in";"1.6875 in";"Brown";1.5
;;;;;;;;;;
;;;;;;;;;;
;;;;;".8125 in";".875 in";"1.125 in";;"Red";4
;;;;;".9375 in";"1. in";"1.1875 in";;"Black";5
;;;;;"1.0625 in";"1.1875 in";"1.375 in";;"Gold";6
;;;;;"1.2813 in";"1.4375 in";"1.625 in";;"Red";7
;;;;;"1.5 in";"1.6875 in";"1.875 in";;"Black";8
;;;;;"1.8125 in";"2. in";"2.5625 in";;"Gold";9
;;;;;"2.125 in";"2.375 in";"3. in";;"Red";10
